MEASUREMENT_TIME,VALUE
2022-12-12 20:34:09.893,<s>
2022-12-12 20:34:09.893,VsDebugConsole.exe
2022-12-12 20:34:12.896,firefox.exe
2022-12-12 20:52:55.024,VsDebugConsole.exe
2022-12-13 01:06:02.811,explorer.exe
2022-12-13 01:06:14.814,VsDebugConsole.exe
2022-12-13 01:06:56.818,firefox.exe
2022-12-13 01:06:59.819,Teams.exe
2022-12-13 01:07:02.819,explorer.exe
2022-12-13 01:07:32.823,SearchApp.exe
2022-12-13 01:07:35.824,explorer.exe
2022-12-13 01:07:38.824,firefox.exe
2022-12-13 01:07:47.825,explorer.exe
2022-12-13 01:07:59.827,firefox.exe
2022-12-13 01:08:05.828,LeagueClientUx.exe
2022-12-13 01:08:17.830,explorer.exe
2022-12-13 01:08:38.832,firefox.exe
2022-12-13 01:08:56.834,Discord.exe
2022-12-13 01:09:38.839,firefox.exe
2022-12-13 01:12:32.862,Discord.exe
2022-12-13 01:12:44.863,firefox.exe
2022-12-13 01:16:17.888,SearchApp.exe
2022-12-13 01:16:20.889,notepad.exe
2022-12-13 01:19:59.918,firefox.exe
2022-12-13 01:22:59.942,explorer.exe
2022-12-13 01:23:29.946,firefox.exe
2022-12-13 01:23:38.948,explorer.exe
2022-12-13 01:23:53.950,firefox.exe
2022-12-13 01:23:56.950,explorer.exe
2022-12-13 01:24:11.952,LeagueClientUx.exe
2022-12-13 01:25:38.964,explorer.exe
2022-12-13 01:26:02.967,LeagueClientUx.exe
2022-12-13 01:26:11.968,firefox.exe
2022-12-13 01:26:17.969,Teams.exe
2022-12-13 01:26:20.970,LeagueClientUx.exe
2022-12-13 01:26:38.973,firefox.exe
2022-12-13 01:27:20.977,Teams.exe
2022-12-13 01:27:23.977,firefox.exe
2022-12-13 01:27:33.609,League of Legends.exe
2022-12-13 01:27:45.610,firefox.exe
2022-12-13 01:27:48.610,League of Legends.exe
2022-12-13 01:31:39.624,firefox.exe
2022-12-13 01:31:42.624,League of Legends.exe
2022-12-13 01:32:00.624,firefox.exe
2022-12-13 01:32:03.625,League of Legends.exe
2022-12-13 01:32:06.625,firefox.exe
2022-12-13 01:32:09.625,League of Legends.exe
2022-12-13 01:32:12.625,firefox.exe
2022-12-13 01:32:15.626,League of Legends.exe
2022-12-13 01:37:27.646,firefox.exe
2022-12-13 01:37:36.647,League of Legends.exe
2022-12-13 01:39:21.656,explorer.exe
2022-12-13 01:39:24.657,League of Legends.exe
2022-12-13 01:40:21.659,firefox.exe
2022-12-13 01:40:24.659,League of Legends.exe
2022-12-13 01:41:36.665,firefox.exe
2022-12-13 01:41:39.665,League of Legends.exe
2022-12-13 01:52:33.699,firefox.exe
2022-12-13 01:52:54.700,LeagueClientUx.exe
2022-12-13 01:53:54.709,firefox.exe
2022-12-13 01:54:00.709,LeagueClientUx.exe
2022-12-13 01:55:00.718,firefox.exe
2022-12-13 01:55:03.719,League of Legends.exe
2022-12-13 01:55:09.719,firefox.exe
2022-12-13 01:55:15.719,League of Legends.exe
2022-12-13 02:03:12.747,firefox.exe
2022-12-13 02:03:15.747,League of Legends.exe
2022-12-13 02:14:33.781,firefox.exe
2022-12-13 02:14:48.783,LeagueClientUx.exe
2022-12-13 02:31:46.776,firefox.exe
2022-12-13 02:42:55.851,VsDebugConsole.exe
2022-12-13 02:43:07.854,firefox.exe
2022-12-13 02:44:19.859,ShellExperienceHost.exe
2022-12-13 02:44:25.860,firefox.exe
2022-12-13 02:44:37.861,ShellExperienceHost.exe
2022-12-13 02:44:40.861,firefox.exe
2022-12-13 02:46:46.877,SearchApp.exe
2022-12-13 02:46:52.877,firefox.exe
2022-12-13 02:48:25.890,explorer.exe
2022-12-13 02:48:28.890,vpnui.exe
2022-12-13 02:48:37.891,firefox.exe
2022-12-13 02:48:46.891,vpndownloader.exe
2022-12-13 02:48:49.891,firefox.exe
2022-12-13 02:55:47.046,VsDebugConsole.exe
2022-12-13 02:55:50.046,notepad.exe
2022-12-13 02:55:53.047,Discord.exe
2022-12-13 02:57:14.057,firefox.exe
2022-12-13 02:58:23.063,Teams.exe
2022-12-13 02:58:32.063,explorer.exe
2022-12-13 02:59:08.067,notepad++.exe
