Start,Value,End,Duration
2022-12-12 12:34:09.893,VsDebugConsole.exe,2022-12-12 12:34:12.896,0 days 00:00:03.003000
2022-12-12 12:34:12.896,firefox.exe,2022-12-12 12:52:55.024,0 days 00:18:42.128000
2022-12-12 12:52:55.024,VsDebugConsole.exe,2022-12-12 17:06:02.811,0 days 04:13:07.787000
2022-12-12 17:06:02.811,explorer.exe,2022-12-12 17:06:14.814,0 days 00:00:12.003000
2022-12-12 17:06:14.814,VsDebugConsole.exe,2022-12-12 17:06:56.818,0 days 00:00:42.004000
2022-12-12 17:06:56.818,firefox.exe,2022-12-12 17:06:59.819,0 days 00:00:03.001000
2022-12-12 17:06:59.819,Teams.exe,2022-12-12 17:07:02.819,0 days 00:00:03
2022-12-12 17:07:02.819,explorer.exe,2022-12-12 17:07:32.823,0 days 00:00:30.004000
2022-12-12 17:07:32.823,SearchApp.exe,2022-12-12 17:07:35.824,0 days 00:00:03.001000
2022-12-12 17:07:35.824,explorer.exe,2022-12-12 17:07:38.824,0 days 00:00:03
2022-12-12 17:07:38.824,firefox.exe,2022-12-12 17:07:47.825,0 days 00:00:09.001000
2022-12-12 17:07:47.825,explorer.exe,2022-12-12 17:07:59.827,0 days 00:00:12.002000
2022-12-12 17:07:59.827,firefox.exe,2022-12-12 17:08:05.828,0 days 00:00:06.001000
2022-12-12 17:08:05.828,LeagueClientUx.exe,2022-12-12 17:08:17.830,0 days 00:00:12.002000
2022-12-12 17:08:17.830,explorer.exe,2022-12-12 17:08:38.832,0 days 00:00:21.002000
2022-12-12 17:08:38.832,firefox.exe,2022-12-12 17:08:56.834,0 days 00:00:18.002000
2022-12-12 17:08:56.834,Discord.exe,2022-12-12 17:09:38.839,0 days 00:00:42.005000
2022-12-12 17:09:38.839,firefox.exe,2022-12-12 17:12:32.862,0 days 00:02:54.023000
2022-12-12 17:12:32.862,Discord.exe,2022-12-12 17:12:44.863,0 days 00:00:12.001000
2022-12-12 17:12:44.863,firefox.exe,2022-12-12 17:16:17.888,0 days 00:03:33.025000
2022-12-12 17:16:17.888,SearchApp.exe,2022-12-12 17:16:20.889,0 days 00:00:03.001000
2022-12-12 17:16:20.889,notepad.exe,2022-12-12 17:19:59.918,0 days 00:03:39.029000
2022-12-12 17:19:59.918,firefox.exe,2022-12-12 17:22:59.942,0 days 00:03:00.024000
2022-12-12 17:22:59.942,explorer.exe,2022-12-12 17:23:29.946,0 days 00:00:30.004000
2022-12-12 17:23:29.946,firefox.exe,2022-12-12 17:23:38.948,0 days 00:00:09.002000
2022-12-12 17:23:38.948,explorer.exe,2022-12-12 17:23:53.950,0 days 00:00:15.002000
2022-12-12 17:23:53.950,firefox.exe,2022-12-12 17:23:56.950,0 days 00:00:03
2022-12-12 17:23:56.950,explorer.exe,2022-12-12 17:24:11.952,0 days 00:00:15.002000
2022-12-12 17:24:11.952,LeagueClientUx.exe,2022-12-12 17:25:38.964,0 days 00:01:27.012000
2022-12-12 17:25:38.964,explorer.exe,2022-12-12 17:26:02.967,0 days 00:00:24.003000
2022-12-12 17:26:02.967,LeagueClientUx.exe,2022-12-12 17:26:11.968,0 days 00:00:09.001000
2022-12-12 17:26:11.968,firefox.exe,2022-12-12 17:26:17.969,0 days 00:00:06.001000
2022-12-12 17:26:17.969,Teams.exe,2022-12-12 17:26:20.970,0 days 00:00:03.001000
2022-12-12 17:26:20.970,LeagueClientUx.exe,2022-12-12 17:26:38.973,0 days 00:00:18.003000
2022-12-12 17:26:38.973,firefox.exe,2022-12-12 17:27:20.977,0 days 00:00:42.004000
2022-12-12 17:27:20.977,Teams.exe,2022-12-12 17:27:23.977,0 days 00:00:03
2022-12-12 17:27:23.977,firefox.exe,2022-12-12 17:27:33.609,0 days 00:00:09.632000
2022-12-12 17:27:33.609,League of Legends.exe,2022-12-12 17:27:45.610,0 days 00:00:12.001000
2022-12-12 17:27:45.610,firefox.exe,2022-12-12 17:27:48.610,0 days 00:00:03
2022-12-12 17:27:48.610,League of Legends.exe,2022-12-12 17:31:39.624,0 days 00:03:51.014000
2022-12-12 17:31:39.624,firefox.exe,2022-12-12 17:31:42.624,0 days 00:00:03
2022-12-12 17:31:42.624,League of Legends.exe,2022-12-12 17:32:00.624,0 days 00:00:18
2022-12-12 17:32:00.624,firefox.exe,2022-12-12 17:32:03.625,0 days 00:00:03.001000
2022-12-12 17:32:03.625,League of Legends.exe,2022-12-12 17:32:06.625,0 days 00:00:03
2022-12-12 17:32:06.625,firefox.exe,2022-12-12 17:32:09.625,0 days 00:00:03
2022-12-12 17:32:09.625,League of Legends.exe,2022-12-12 17:32:12.625,0 days 00:00:03
2022-12-12 17:32:12.625,firefox.exe,2022-12-12 17:32:15.626,0 days 00:00:03.001000
2022-12-12 17:32:15.626,League of Legends.exe,2022-12-12 17:37:27.646,0 days 00:05:12.020000
2022-12-12 17:37:27.646,firefox.exe,2022-12-12 17:37:36.647,0 days 00:00:09.001000
2022-12-12 17:37:36.647,League of Legends.exe,2022-12-12 17:39:21.656,0 days 00:01:45.009000
2022-12-12 17:39:21.656,explorer.exe,2022-12-12 17:39:24.657,0 days 00:00:03.001000
2022-12-12 17:39:24.657,League of Legends.exe,2022-12-12 17:40:21.659,0 days 00:00:57.002000
2022-12-12 17:40:21.659,firefox.exe,2022-12-12 17:40:24.659,0 days 00:00:03
2022-12-12 17:40:24.659,League of Legends.exe,2022-12-12 17:41:36.665,0 days 00:01:12.006000
2022-12-12 17:41:36.665,firefox.exe,2022-12-12 17:41:39.665,0 days 00:00:03
2022-12-12 17:41:39.665,League of Legends.exe,2022-12-12 17:52:33.699,0 days 00:10:54.034000
2022-12-12 17:52:33.699,firefox.exe,2022-12-12 17:52:54.700,0 days 00:00:21.001000
2022-12-12 17:52:54.700,LeagueClientUx.exe,2022-12-12 17:53:54.709,0 days 00:01:00.009000
2022-12-12 17:53:54.709,firefox.exe,2022-12-12 17:54:00.709,0 days 00:00:06
2022-12-12 17:54:00.709,LeagueClientUx.exe,2022-12-12 17:55:00.718,0 days 00:01:00.009000
2022-12-12 17:55:00.718,firefox.exe,2022-12-12 17:55:03.719,0 days 00:00:03.001000
2022-12-12 17:55:03.719,League of Legends.exe,2022-12-12 17:55:09.719,0 days 00:00:06
2022-12-12 17:55:09.719,firefox.exe,2022-12-12 17:55:15.719,0 days 00:00:06
2022-12-12 17:55:15.719,League of Legends.exe,2022-12-12 18:03:12.747,0 days 00:07:57.028000
2022-12-12 18:03:12.747,firefox.exe,2022-12-12 18:03:15.747,0 days 00:00:03
2022-12-12 18:03:15.747,League of Legends.exe,2022-12-12 18:14:33.781,0 days 00:11:18.034000
2022-12-12 18:14:33.781,firefox.exe,2022-12-12 18:14:48.783,0 days 00:00:15.002000
2022-12-12 18:14:48.783,LeagueClientUx.exe,2022-12-12 18:31:46.776,0 days 00:16:57.993000
2022-12-12 18:31:46.776,firefox.exe,2022-12-12 18:42:55.851,0 days 00:11:09.075000
2022-12-12 18:42:55.851,VsDebugConsole.exe,2022-12-12 18:43:07.854,0 days 00:00:12.003000
2022-12-12 18:43:07.854,firefox.exe,2022-12-12 18:44:19.859,0 days 00:01:12.005000
